sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type,Feedback
They then took a rebound and finally scored .,Wiki1k:wikinews:523166:3:7,4,Wiki1k:wikinews:523166:3:7_4,rebound,A3TUJHF9LW3M8N,,Whose [W]?,Whose rebound?,They,"(1, 2)",,,,,,,,,,answer,
"About 40,000 people attended the opening ceremony .",Wiki1k:wikinews:782017:0:2,6,Wiki1k:wikinews:782017:0:2_6,ceremony,AJQGWGESKQT4Y,,What/Who is a part/member of [W]?,Who is a part of ceremony?,"About 40,000 people","(1, 4)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,11,Wiki1k:wikipedia:17741:21:4_11,atmosphere,AJQGWGESKQT4Y,,What kind of [W]?,What kind of atmosphere?,the upper atmosphere,"(10, 13)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,11,Wiki1k:wikipedia:17741:21:4_11,atmosphere,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,Where is the [W]?,Where is the atmosphere?,upper,"(11, 12)",,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,7,Wiki1k:wikipedia:17741:21:4_7,kites,AJQGWGESKQT4Y,,Where is the [W]?,Where is the kites?,in the upper atmosphere,"(9, 13)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,17,Wiki1k:wikipedia:17741:21:4_17,observation,AJQGWGESKQT4Y,,Where is the [W]?,Where is the observation?,at a meteorological site near Glossop,"(19, 22)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,17,Wiki1k:wikipedia:17741:21:4_17,observation,AJQGWGESKQT4Y,,,,,,,,AZC7J87AH18DW,Where is the [W]?,Where is the observation?,site,"(19, 20)",,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,2,Wiki1k:wikipedia:17741:21:4_2,research,AJQGWGESKQT4Y,,Whose [W]?,Whose research?,He,"(1, 2)",,,,,,,,,,answer,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,2,Wiki1k:wikipedia:17741:21:4_2,research,AJQGWGESKQT4Y,,Where is the [W]?,Where is the research?,a meteorological observation site near Glossop,"(16, 22)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the method of (the) research?,experimenting at a meteorological observation site near Glossop,"(14, 22)",method,,question,
"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4,18,Wiki1k:wikipedia:17741:21:4_18,site,AJQGWGESKQT4Y,,What kind of [W]?,What kind of site?,a meteorological observation site,"(16, 20)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the goal of (the) site?,meteorological observation,"(17, 19)",goal,,question,"""What kind of site?"" - this is ok too, but ""What is the goal of (the) site?"" is more specific (see slide 18, titled ""Content-Specific"" in the guidelines)"
"Latimer worked as an engineer , a draftsman and an expert witness in patent litigation on electric lights .",Wiki1k:wikipedia:29778:28:2,13,Wiki1k:wikipedia:29778:28:2_13,patent,AJQGWGESKQT4Y,,What kind of [W]?,What kind of patent?,electric lights,"(17, 19)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) patent?,electric lights,"(17, 19)",domain,,question,
"Latimer worked as an engineer , a draftsman and an expert witness in patent litigation on electric lights .",Wiki1k:wikipedia:29778:28:2,11,Wiki1k:wikipedia:29778:28:2_11,witness,AJQGWGESKQT4Y,,What kind of [W]?,What kind of witness?,an expert,"(10, 12)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the role of (the) witness?,expert,"(11, 12)",role,,question,
The doctor stated he was told his physical safety was in jeopardy .,Wiki1k:wikinews:2067610:1:5,11,Wiki1k:wikinews:2067610:1:5_11,jeopardy,AJQGWGESKQT4Y,,Whose [W]?,Whose jeopardy?,The doctor,"(1, 3)",,,,,,,,,,answer,
The doctor stated he was told his physical safety was in jeopardy .,Wiki1k:wikinews:2067610:1:5,11,Wiki1k:wikinews:2067610:1:5_11,jeopardy,AJQGWGESKQT4Y,,What is the [PROPERTY] of (the) [W]?,What is the target of (the) jeopardy?,physical safety,"(8, 10)",target,,,,,,,,,answer,
