sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A21LONLNBOB8Q,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A21LONLNBOB8Q,,What/Who is (the) [W]?,What is (the) information?,the whereabouts of our family members,"(10, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A21LONLNBOB8Q,,What is the [PROPERTY] of (the) [W]?,What is the spread of (the) loss?,50 -- 57,"(7, 10)",spread,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A21LONLNBOB8Q,,What/Who is (the) [W]?,What is (the) loss?,to Canada,"(5, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A21LONLNBOB8Q,,What kind of [W]?,What kind of counts?,indecent assault,"(30, 32)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A21LONLNBOB8Q,,What kind of [W]?,What kind of events?,alleged,"(6, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A21LONLNBOB8Q,,What kind of [W]?,What kind of director?,Austrian,"(3, 4)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A21LONLNBOB8Q,,What kind of [W]?,What kind of director?,film,"(4, 5)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a member of whereabouts?,family members,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A2M9JNCHRKMCC4,,Where is the [W]?,Where is the whereabouts?,Juanda,"(22, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of family?,members,"(15, 16)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A2M9JNCHRKMCC4,,Where is the [W]?,Where is the family?,Juanda,"(22, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A2M9JNCHRKMCC4,,What is the [W] a part/member of?,What is the family a member of?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A2M9JNCHRKMCC4,,Where is the [W]?,Where is the members?,Juanda,"(22, 23)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of members?,one weeping woman,"(18, 20)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the emotion of (the) woman?,weeping,"(19, 20)",emotion,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A2M9JNCHRKMCC4,,What is the [W] a part/member of?,What is the woman a member of?,family,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A2M9JNCHRKMCC4,,Where is the [W]?,Where is the information?,Juanda,"(22, 23)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of relation?,complaints,"(4, 5)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of relation?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A2M9JNCHRKMCC4,,When is the [W]?,When is the relation?,events between 1974 and 1984,"(7, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the age of (the) females?,eight and seventeen years,"(16, 19)",age,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of years?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A2M9JNCHRKMCC4,,How much /How many [W]?,How much /How many age?,between eight and seventeen years,"(15, 19)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A2M9JNCHRKMCC4,,Whose [W]?,Whose indecent?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a member of indecent?,three females between eight and seventeen years of age,"(13, 21)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A2M9JNCHRKMCC4,,When is the [W]?,When is the complaints?,events between 1974 and 1984,"(7, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A2M9JNCHRKMCC4,,Whose [W]?,Whose assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A2M9JNCHRKMCC4,,How much /How many [W]?,How much /How many assault?,three,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of events?,indecent assault,"(30, 31)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A2M9JNCHRKMCC4,,Whose [W]?,Whose events?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a member of events?,three females between eight and seventeen years of age,"(13, 21)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,A2M9JNCHRKMCC4,,Whose [W]?,Whose snake?,Jenny,"(1, 2)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,A2M9JNCHRKMCC4,,Where is the [W]?,Where is the snake?,her presence,"(7, 8)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,What is a part of presence?,snake,"(5, 6)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the offering of (the) people?,food,"(5, 6)",offering,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A2M9JNCHRKMCC4,,Whose [W]?,Whose food?,people,"(11, 12)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the status of (the) food?,prepare,"(4, 5)",status,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the frequency  of (the) humans?,commonly,"(26, 27)",frequency ,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A2M9JNCHRKMCC4,,What is the [W] a part/member of?,What is the humans a part of?,"H 1 , 2 and 3 , and N 1 and 2","(13, 24)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of subtypes?,16 H and 9 N,"(3, 7)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a member of subtypes?,humans,"(29, 30)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the Nationality of (the) film?,Austrian,"(3, 4)",Nationality,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the director of (the) film?,Stefan Ruzowitzky,"(12, 13)",director,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose whereabouts?,our family members,"(13, 16)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,one weeping woman at Juanda,"(18, 23)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many woman?,one,"(18, 19)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(4, 22)",,"Hard to find appropriate question.
QANom is much better here",answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,"(23, 36)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the age of (the) females?,between eight and seventeen years of age,"(15, 22)",age,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of years?,of age,"(20, 22)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many assault?,three counts,"(27, 29)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,When is the [W]?,When is the assault?,between 1974 and 1984,"(8, 12)",,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,When is the [W]?,When is the events?,between 1974 and 1984,"(8, 12)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,N,"(7, 8)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A2M9JNCHRKMCC4,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of members?,family,"(14, 15)",,,AZC7J87AH18DW,What is the [W] a part/member of?,What is the members a member of?,our family,"(13, 15)",,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of loss?,Canada,"(6, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A2M9JNCHRKMCC4,,What is the [PROPERTY] of (the) [W]?,What is the Score of (the) loss?,50 -- 57,"(7, 9)",Score,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of indecent?,assault,"(31, 32)",,,AZC7J87AH18DW,What/Who is (the) [W]?,What is (the) indecent?,assault,"(31, 32)",,Not a noun - it's an adjective!,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A2M9JNCHRKMCC4,,Whose [W]?,Whose complaints?,three females between eight and seventeen years of age,"(13, 21)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of complaints?,Hall,"(23, 24)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A2M9JNCHRKMCC4,,What/Who is a part/member of [W]?,Who is a part of assault?,three females between eight and seventeen years of age,"(13, 21)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of events?,alleged,"(6, 7)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A2M9JNCHRKMCC4,,What kind of [W]?,What kind of director?,film,"(4, 5)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A3GWRDHAURRNK6,,Whose [W]?,Whose whereabouts?,family members,"(14, 15)",,,,,,,,,,answer
